Headline,Human_Label
Company A reports record profits,Positive
Company B faces major lawsuit,Negative
Tech stocks remain flat,Neutral
Banking sector shows signs of recovery,Positive
Retail giant posts unexpected losses,Negative
Oil prices surge due to Middle East tensions,Positive
Federal Reserve keeps interest rates unchanged,Neutral
Automaker recalls thousands of vehicles,Negative
Startup raises $50 million in funding round,Positive
Pharmaceutical firm fails clinical trial,Negative
Company C shares hit all-time high,Positive
Regulatory approval boosts pharma sector,Positive
Weak earnings pull down tech stocks,Negative
Inflation worries weigh on investors,Negative
Bank X sees a 20% increase in deposits,Positive
Layoffs announced at major e-commerce firm,Negative
Strong dollar impacts export businesses,Negative
Mergers in telecom industry raise hopes,Positive
Company Y faces cybersecurity breach,Negative
Interest in green energy investments rises,Positive
Retail foot traffic declines in Q4,Negative
New tax policies concern small businesses,Negative
Airline reports surge in bookings post-pandemic,Positive
Construction activity slows amid rate hikes,Negative
Government stimulus boosts market confidence,Positive
Supply chain issues hit auto manufacturers,Negative
Cloud adoption helps software firms grow,Positive
Steel prices fall due to oversupply,Negative
Electric vehicle startup launches new model,Positive
High crude prices benefit oil producers,Positive
